name,address,borough,description,rating,google_map
McCarren Park,"Williamsburg and Greenpoint, Brooklyn, New York City",Brooklyn,,9,
Flushing Meadows–Corona Park,,Queens,,8,http://upload.wikimedia.org/wikipedia/commons/thumb/b/be/30_years_of_progress%2C_1934-1964_-_Department_of_Parks_-_300th_anniversary_of_the_City_of_New_York_-_New_York_World%27s_Fair._%281964%29_%2816639606536%29.jpg/170px-30_years_of_progress%2C_1934-1964_-_Department_of_Parks_-_300th_anniversary_of_the_City_of_New_York_-_New_York_World%27s_Fair._%281964%29_%2816639606536%29.jpg
Hudson River Park,,Manhattan,,7,
LES Skatepark,,Manhattan ,,6,
Flushing Meadows–Corona Park,,Queens,,5,http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Swans_%26_people_statue_FMCP_jeh.jpg/125px-Swans_%26_people_statue_FMCP_jeh.jpg
Flushing Meadows–Corona Park,,Staten Island,,5,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/30_years_of_progress%2C_1934-1964_-_Department_of_Parks_-_300th_anniversary_of_the_City_of_New_York_-_New_York_World%27s_Fair._%281964%29_%2816458228567%29.jpg/130px-30_years_of_progress%2C_1934-1964_-_Department_of_Parks_-_300th_anniversary_of_the_City_of_New_York_-_New_York_World%27s_Fair._%281964%29_%2816458228567%29.jpg
Flushing Meadows–Corona Park,,Bronx,,4,http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/FlushingMeadowNY_HallofScience_exterior.jpg/118px-FlushingMeadowNY_HallofScience_exterior.jpg
Brower Park,"Crown Heights, Brooklyn, New York City, 
 New York, United States",Brooklyn,"Brower Park is a municipal park in Crown Heights, Brooklyn, New York City. It is located between Brooklyn Avenue to the west and Kingston Avenue to the east, and between St. Marks Avenue to the north and Park Place to the south.  The T-shaped park encompasses roughly 4 acres (1.6 ha) and shares a square block with the Brooklyn Children's Museum and P.S. 289 George V Brower.",9,
Tompkins Square Park,"Alphabet City/East Village, Manhattan, New York City",Manhattan,,8,
Martinez Playground,,Manhattan ,,7,
Flushing Meadows–Corona Park,,Queens,,6,http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/FLMeCoPark8023.JPG/200px-FLMeCoPark8023.JPG
Brooklyn Banks,,Manhattan,,5,
South Beach–Franklin Delano Roosevelt Boardwalk,"Staten Island, New York",Staten Island,,5,
Far Rockaway Skate Park,,Brooklyn,,4,
Hudson River Park,"Between Battery Place and West 59th Street
West Side, Manhattan, New York City",Manhattan ,,9,
Tompkins Square Park,,Queens,,8,
Highbridge Park,,Staten Island,,7,
Astoria Park,,Bronx,,6,
Flushing Meadows–Corona Park,,Brooklyn,,5,http://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Louis_Armstrong_Stadium.jpg/242px-Louis_Armstrong_Stadium.jpg
Millennium Skate Park,"Bay Ridge, Brooklyn",Brooklyn,"Millennium Skate Park, also known as Owl's Head Skate Park, is a skate park in Bay Ridge, Brooklyn, located in Owl's Head Park, adjacent to the Sunset Park Greenway.[2][3][4]",5,
Canarsie Park (Brooklyn),,Queens,,4,
Flushing Meadows–Corona Park,"Queens, New York, United States",Queens,,9,
Canarsie Park (Brooklyn),,Bronx,,8,
Flushing Meadows–Corona Park,,Brooklyn,,7,http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Queens_Theatre-1.jpg/266px-Queens_Theatre-1.jpg
Flushing Meadows–Corona Park,,Manhattan ,,6,http://upload.wikimedia.org/wikipedia/commons/thumb/1/10/FLushingPark5909.JPG/200px-FLushingPark5909.JPG
Brooklyn Banks,,Queens,,5,
Flushing Meadows–Corona Park,,Staten Island,,5,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Citi_Field_and_Apple.JPG/301px-Citi_Field_and_Apple.JPG
Far Rockaway Skate Park,"Far Rockaway, Queens",Queens,"Far Rockaway Skate Park is a public skate park in Rockaway Beach, Queens opened in 2011.[1][2][3][4] The park is open dawn till dusk and is unsupervised.[5] In addition to skateboarding, scooters and inline skates are permitted.[5] The park was built over a large parking lot that was reduced in size but not eliminated.[6] The skatepark project was part of a larger renovation of O'Donohue Park that began in 2010 and was completed in 2011.[6] The park was designed by SITE Design Group and built by California Skateparks.[2]",4,
Riverside Skatepark,"Upper West Side, Manhattan",Manhattan,"Riverside Skatepark is a skatepark located in Riverside Park on the Upper West Side of Manhattan, New York City.[1] Riverside Skatepark is notable as the first full-sized public skatepark in Manhattan, designed and built by renowned skateboarder and skatepark builder Andy Kessler.[2]",9,
River Avenue Skate Park,,Manhattan ,,8,
Martinez Playground,"Bushwick, Brooklyn, New York City",Brooklyn,,7,
Astoria Park,,Staten Island,"Astoria Park is a 59.96-acre (242,600 m2) park located along the East River in the New York City borough of Queens.[1] The park is operated and maintained by the New York City Department of Parks and Recreation (NYC Parks). It is situated in Astoria and adjacent to the Triborough (Robert F. Kennedy) and Hell Gate Bridges.",6,http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Astoria_Park_Panorama_of_Triborough_and_Hell%27s_Gate_Bridges.jpg/800px-Astoria_Park_Panorama_of_Triborough_and_Hell%27s_Gate_Bridges.jpg
Pier 62 Skatepark,,Bronx,,5,
Marine Park (Brooklyn park),"Marine Park, Brooklyn, New York",Brooklyn,,5,
Brower Park,,Manhattan ,,4,
Flushing Meadows–Corona Park,,Queens,,9,http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/ArthurAsheStadium_crop.jpg/337px-ArthurAsheStadium_crop.jpg
Golconda Skate Park,,Staten Island,,8,
Marine Park (Brooklyn park),,Bronx,,7,
Highbridge Park,"Washington Heights, Manhattan, New York City",Manhattan,,6,
LES Skatepark,"Lower East Side, Manhattan",Manhattan ,"Coleman Playground is a public park in New York City, sitting on the border between Chinatown and the Lower East Side.",5,
Astoria Park,,Queens,"Astoria Park is a 59.96-acre (242,600 m2) park located along the East River in the New York City borough of Queens.[1] The park is operated and maintained by the New York City Department of Parks and Recreation (NYC Parks). It is situated in Astoria and adjacent to the Triborough (Robert F. Kennedy) and Hell Gate Bridges.",5,http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Hell_Gate_from_Astoria_Park.jpg/205px-Hell_Gate_from_Astoria_Park.jpg
McCarren Park,,Staten Island,,4,
Astoria Park,,Bronx,"Astoria Park is a 59.96-acre (242,600 m2) park located along the East River in the New York City borough of Queens.[1] The park is operated and maintained by the New York City Department of Parks and Recreation (NYC Parks). It is situated in Astoria and adjacent to the Triborough (Robert F. Kennedy) and Hell Gate Bridges.",9,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Astoria_Park_jeh.JPG/179px-Astoria_Park_jeh.JPG
Riverside Skatepark,,Brooklyn,,8,
Flushing Meadows–Corona Park,,Manhattan ,,7,
South Beach–Franklin Delano Roosevelt Boardwalk,,Queens,,6,
Millennium Skate Park,,Staten Island,,5,
Golconda Skate Park,Downtown Brooklyn,Brooklyn,"Golconda Skate Park, known as Fat Kid, is a public skate park in the Downtown Brooklyn/Fort Greene neighborhoods of Brooklyn, New York City, that originated as a DIY skate spot.[1][2] Built under the Brooklyn Queens Expressway, the 18,000 square foot professionally built skate park was completed in 2016 and sits within Golconda Playground.[3][2]",5,
Pier 62 Skatepark,"Chelsea, Manhattan",Manhattan,"Pier 62 Skatepark is a public skatepark located in the Chelsea neighborhood of Manhattan, New York City.[1] The skatepark is located in Hudson River Park on Pier 62 overlooking the Hudson River.[2] Pier 62 Skatepark is notable as it is the only modern full size vert concrete transition skatepark in New York City.[1]",4,
River Avenue Skate Park,"Bronx, New York",Bronx,River Avenue Skate Park is a skate park located in the south Bronx built in 2010 and located next to the B and D train.[1][2][3][4],5,
