name,address,borough,description,rating,google_map
Brooklyn Banks,New York New York 10038,Manhattan,Skatepark,8,https://storage.googleapis.com/fsscs1/images/large/4ac084f7cfae02e89c535d26783b94d0.jpg
Columbus Park 8 Stair Rail,"1 Mulberry Street, New York New York 10013",Manhattan,Stair Set,9,https://storage.googleapis.com/fsscs1/images/large/cceb73c4b74146471abef3141e1d8d13.jpg
Courthouse Drop,New York New York 10007,Manhattan,Ledge,10,https://storage.googleapis.com/fsscs1/images/large/2f3059406d119befb3e6a7b25b219fa4.jpg
Rockaway 7 Stair Rails,New York New York 11694,Manhattan,Handrail,7,https://storage.googleapis.com/fsscs1/images/large/e9df9d07558b628262968e64458d65c0.jpg
Washington Plaza,"South 4th Street, New York New York 11211",Manhattan,Manual Pad,6,https://storage.googleapis.com/fsscs1/images/large/5c32546ddb71b0bf11bd0516d1f9c681.jpg
Grey Marble,"110 West 30th Street, New York New York 10001",Manhattan,Other,5,https://storage.googleapis.com/fsscs1/images/large/b74ff3eb13078413e8b98f547899d060.jpg
Courthouse Drop,New York New York 10007,Manhattan,Drop,8,https://storage.googleapis.com/fsscs1/images/large/2f3059406d119befb3e6a7b25b219fa4.jpg
Seward Park Gap,"62 Essex Street, New York New York 10002",Manhattan,Gap,9,https://storage.googleapis.com/fsscs1/images/large/9e11c13f4c23b7c554dfdcf0af7ef7a2.jpg
Rockaway 7 Stair Rails,New York New York 11694,Manhattan,Stair Set,10,https://storage.googleapis.com/fsscs1/images/large/e9df9d07558b628262968e64458d65c0.jpg
7 Stair Out Ledge,"102 Cedar Street, New York New York 10006",Manhattan,Stair Set,7,https://storage.googleapis.com/fsscs1/images/large/1447eb6b8ee44862827ef75e9f0c305b.jpg
Black Hubba,"55 Centre Street, New York New York 10007",Manhattan,Gap,6,https://storage.googleapis.com/fsscs1/images/large/41a9e56ede865686c6517d76d94b97f7.jpg
Washington Plaza,"South 4th Street, New York New York 11211",Manhattan,Ledge,5,https://storage.googleapis.com/fsscs1/images/large/5c32546ddb71b0bf11bd0516d1f9c681.jpg
Black Hubba,"55 Centre Street, New York New York 10007",Manhattan,Hubba,8,https://storage.googleapis.com/fsscs1/images/large/41a9e56ede865686c6517d76d94b97f7.jpg
Black Hubba,"55 Centre Street, New York New York 10007",Manhattan,Stair Set,9,https://storage.googleapis.com/fsscs1/images/large/41a9e56ede865686c6517d76d94b97f7.jpg
Grey Marble,"110 West 30th Street, New York New York 10001",Manhattan,Manual Pad,10,https://storage.googleapis.com/fsscs1/images/large/b74ff3eb13078413e8b98f547899d060.jpg
Courthouse Drop,New York New York 10007,Manhattan,Gap,7,https://storage.googleapis.com/fsscs1/images/large/2f3059406d119befb3e6a7b25b219fa4.jpg
Median Ledge,"200 West 111th Street, New York New York 10026",Manhattan,Flatbar,6,https://storage.googleapis.com/fsscs1/images/large/815badd31e9626ad2ee83025e47d13ca.jpg
2 Stair Hubba,"30 Mulberry Street, New York New York 10013",Manhattan,Ledge,5,https://storage.googleapis.com/fsscs1/images/large/5f58b47ddf20171b7e4497cd84ebb85f.jpg
Ogden Bank To Ledge,"1261 Merriam Avenue, New York New York 10452",Manhattan,Bank,8,https://storage.googleapis.com/fsscs1/images/large/48ae73f8292e8e769346a40f680ed919.jpg
Columbus Park 8 Stair Rail,"1 Mulberry Street, New York New York 10013",Manhattan,Handrail,9,https://storage.googleapis.com/fsscs1/images/large/cceb73c4b74146471abef3141e1d8d13.jpg
Grate Ledge,"401 West 114th Street, New York New York 10025",Manhattan,Ledge,10,https://storage.googleapis.com/fsscs1/images/large/baea5f3085172b3a12dd9db86fee1f97.jpg
